09:27:38.727 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:27:38.804 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:27:38.820 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:27:38.894 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:27:38.913 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:27:38.914 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (2404eee5a7007936208d5e8c3ee9f803)] -> name: SubmitLogin]
09:27:40.382 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (2404eee5a7007936208d5e8c3ee9f803)] -> name: SubmitLogin]
09:27:40.382 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign out
09:27:50.403 [main] INFO  base.TestBase - Exception occured: org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"link text","selector":"Sign out"}
  (Session info: chrome=96.0.4664.110)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-8IO9O82', ip: '192.168.43.183', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '15.0.2'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 96.0.4664.110, chrome: {chromedriverVersion: 96.0.4664.45 (76e4c1bb2ab46..., userDataDir: C:\Users\santo\AppData\Loca...}, goog:chromeOptions: {debuggerAddress: localhost:63445}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 2404eee5a7007936208d5e8c3ee9f803
*** Element info: {Using=link text, value=Sign out}
09:34:43.354 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:34:43.392 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:34:43.400 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (38381a0501add896fbb1825b07d5801e)] -> link text: Sign in]
09:34:54.556 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (38381a0501add896fbb1825b07d5801e)] -> link text: Sign in]
09:34:54.557 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:34:54.582 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:34:54.668 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:34:54.685 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:34:54.759 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:34:54.779 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:34:54.780 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (38381a0501add896fbb1825b07d5801e)] -> name: SubmitLogin]
09:34:55.213 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (38381a0501add896fbb1825b07d5801e)] -> name: SubmitLogin]
09:34:55.217 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign out
09:35:12.452 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign out
09:35:30.944 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:35:30.963 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:35:30.964 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (23ee607b3b588cfc5b4a1fd9aa8efa39)] -> link text: Sign in]
09:35:41.061 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (23ee607b3b588cfc5b4a1fd9aa8efa39)] -> link text: Sign in]
09:35:41.064 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:35:41.086 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:35:41.166 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:35:41.181 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:35:41.264 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:35:41.284 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:35:41.285 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (23ee607b3b588cfc5b4a1fd9aa8efa39)] -> name: SubmitLogin]
09:35:50.310 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (23ee607b3b588cfc5b4a1fd9aa8efa39)] -> name: SubmitLogin]
09:35:50.310 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign out
